Income,Age,LoanAmount,CreditHistory,EmploymentStatus,Default
141958,53,20982,0,1,0
35795,40,12425,1,1,0
20860,33,2980,1,0,0
123694,48,49290,1,2,0
148106,49,27431,1,2,1
139879,33,20440,1,1,1
130268,55,42752,1,1,0
96820,26,18175,1,2,0
74886,38,49651,1,2,0
26265,25,27385,1,1,0
102386,45,39158,1,1,1
148214,22,24019,1,1,1
57194,30,19639,0,2,0
107498,50,20994,1,2,1
132727,25,35375,1,1,0
146324,53,22563,1,1,1
64131,21,40341,0,2,0
80263,38,6776,1,2,0
36023,52,37444,1,2,0
61090,31,4380,1,2,0
87221,41,9711,0,1,0
84820,46,9782,1,1,1
20769,45,18434,1,1,0
79735,42,47765,1,0,0
82955,47,21017,1,1,0
84925,33,31707,1,2,0
141637,53,40110,1,1,0
87969,54,18343,1,2,0
25311,61,39827,1,1,0
123355,55,42652,1,2,0
124724,21,6655,0,0,0
103104,41,45859,0,1,1
73707,26,16251,1,1,1
105305,48,1526,1,1,0
48693,37,4224,1,2,0
91932,25,48837,1,2,0
147723,51,12536,1,1,0
113016,25,29541,1,1,0
126970,58,14547,0,1,0
45658,23,35531,1,1,0
104478,43,9712,1,2,0
142537,57,39565,0,2,0
38431,57,10208,1,1,1
22747,30,6109,1,2,1
143855,30,36201,1,1,0
79150,39,17967,1,2,0
85725,37,30759,1,1,1
149981,41,21172,1,2,1
104654,34,37935,1,2,0
55773,29,27589,1,1,0
139346,21,31015,1,2,0
87435,33,30009,0,1,0
76886,24,18773,1,1,0
86803,21,42125,1,1,0
51551,60,27143,1,2,0
136216,52,7154,1,2,0
31394,54,22804,1,2,1
89092,48,42688,0,2,0
23890,51,21581,1,1,0
61606,28,31087,1,2,0
116276,59,33981,0,1,0
145768,46,4762,0,1,1
100038,54,47167,1,1,0
107313,23,10768,1,2,0
30627,32,44408,1,2,0
28792,21,40499,1,1,0
128859,64,39559,1,0,1
128557,25,49590,1,2,0
93969,50,9783,1,0,0
63001,50,47389,1,2,0
96552,37,30781,1,2,0
43897,43,31811,0,1,1
88148,35,49787,1,1,1
141729,57,36488,1,2,0
144243,41,9905,1,2,0
140923,34,10127,0,1,1
140174,22,23431,0,2,1
43483,31,7368,1,0,0
144358,59,28424,1,1,0
68555,58,47824,1,2,0
145436,54,46004,1,2,1
37159,58,19333,1,1,0
130510,54,24116,0,2,0
126530,38,48219,1,1,1
100077,50,44201,0,1,0
55920,35,16525,1,1,0
112067,47,24398,1,2,0
87121,54,33857,1,1,0
89479,58,11361,0,1,0
109475,53,17369,0,1,0
39457,44,4041,1,2,0
86557,35,1105,1,1,0
97189,50,10078,1,2,1
129109,62,26003,1,1,1
98953,37,7090,1,1,0
72995,25,39850,1,1,0
60757,49,2925,1,2,0
29692,24,19440,1,2,0
65758,30,40685,1,0,0
149425,37,27015,0,1,0
92409,30,34320,1,0,0
91211,37,26291,0,1,0
85697,40,37679,0,1,0
57065,44,27289,1,1,0
112093,25,4389,0,1,0
119299,54,26683,1,1,0
149293,26,14629,1,1,0
52606,22,25826,1,2,1
147791,33,36198,1,1,1
31534,63,27630,0,0,0
114663,63,34226,1,2,0
60397,31,47163,1,1,0
146678,43,33975,1,1,0
111387,36,1899,1,1,0
21016,51,12653,0,1,1
109789,31,28961,1,0,0
75591,36,17405,1,1,1
109812,28,9601,1,2,0
43247,24,34662,1,1,0
44300,60,34282,1,1,0
94065,24,22288,1,1,0
102798,45,30545,0,1,0
29268,23,37877,1,1,0
106807,52,47026,1,2,0
32185,23,16313,1,1,1
83704,47,16349,1,1,0
106779,49,8179,1,1,1
59099,52,11326,0,1,1
28571,39,45555,0,2,1
143372,41,2560,1,0,0
125512,25,14612,1,1,0
58044,38,18650,1,1,1
71214,48,27745,1,2,0
81228,62,32890,1,1,0
